,city name,temp,wind speed,country,cloudiness,humidity,longitude,latitiude,date
350,Batemans Bay,72.0,5.01,AU,100,61,150.18,-35.71,1578284328
351,Seymchan,-13.5,1.61,RU,92,100,152.39,62.93,1578284328
352,Ormara,72.77,6.11,PK,83,60,64.64,25.21,1578284328
353,Paulo Ramos,73.67,1.63,BR,97,95,-45.24,-4.45,1578284329
354,Brest,24.8,4.47,BY,32,92,23.69,52.09,1578284329
355,Nouakchott,57.2,6.93,MR,0,22,-15.98,18.08,1578284329
356,Rio Gallegos,42.8,10.29,AR,20,70,-69.22,-51.62,1578284330
357,Tadine,81.93,12.33,NC,0,59,167.88,-21.55,1578284330
358,Saint-Augustin,18.0,3.36,CA,20,92,-73.98,45.63,1578283924
359,Jalu,49.82,16.4,LY,0,63,21.55,29.03,1578284331
360,Jiuquan,17.85,3.09,CN,100,56,98.49,39.73,1578284331
361,Lisakovsk,9.64,7.52,KZ,2,94,62.49,52.55,1578284331
362,Straumen,46.0,18.34,NO,40,100,11.3,63.87,1578284331
363,Sistranda,44.6,8.05,NO,75,100,8.83,63.73,1578284332
364,Sao Miguel do Araguaia,71.69,4.16,BR,73,98,-50.16,-13.28,1578284332
365,Palmer,78.01,16.11,AU,0,46,139.16,-34.85,1578284332
366,Poum,28.4,17.22,MK,40,46,20.71,41.28,1578283692
367,Kapchorwa,66.31,3.78,UG,79,67,34.45,1.4,1578284333
368,Olga,62.6,3.78,US,1,67,-118.17,34.11,1578284333
369,Boyolangu,86.09,5.26,ID,15,66,111.9,-8.09,1578284333
